model,seed,heldout_scale,epoch,train_loss,val_accuracy,lr
TemporalResNet18Small,84,6.0,7,0.06615744879031006,0.9682539682539683,0.000285724057869903
TemporalResNet18Small,84,6.0,8,0.0633236049564884,0.91005291005291,0.00028144600200657956
TemporalResNet18Small,84,6.0,9,0.08076689219759668,0.9576719576719577,0.0002766491888253023
TemporalResNet18Small,84,6.0,10,0.04658273725277361,0.9682539682539683,0.00027135254915624217
TemporalResNet18Small,84,6.0,11,0.05896770565167946,0.9788359788359788,0.0002655769864163684
TemporalResNet18Small,84,6.0,12,0.0598210586262319,0.9708994708994709,0.0002593452941132117
TemporalResNet18Small,84,6.0,13,0.043281223351026285,0.9708994708994709,0.0002526820658893033
TemporalResNet18Small,84,6.0,14,0.041529595435884616,0.9735449735449735,0.0002456135984623034
TemporalResNet18Small,84,6.0,15,0.03475312069777454,0.9735449735449735,0.00023816778784387096
TemporalResNet18Small,84,6.0,16,0.03858238396145787,0.9682539682539683,0.00023037401924684944
TemporalResNet18Small,84,6.0,17,0.03888259781010942,0.9788359788359788,0.00022226305111525726
TemporalResNet18Small,84,6.0,18,0.036237013842979005,0.9735449735449735,0.00021386689373476087
TemporalResNet18Small,84,6.0,19,0.034854671144036245,0.9788359788359788,0.00020521868290270169
TemporalResNet18Small,84,6.0,20,0.04565148812253028,0.9841269841269841,0.00019635254915624208
TemporalResNet18Small,84,6.0,21,0.029771240327082685,0.9682539682539683,0.00018730348307472816
TemporalResNet18Small,84,6.0,22,0.035408877860925926,0.9682539682539683,0.00017810719718785867
TemporalResNet18Small,84,6.0,23,0.03356682401456911,0.9735449735449735,0.00016879998503464564
TemporalResNet18Small,84,6.0,24,0.02993379281628329,0.9788359788359788,0.000159418577929397
TemporalResNet18Small,84,6.0,25,0.032685691774103735,0.9735449735449735,0.00015
TemporalResNet18Small,84,6.0,26,0.027910318121190787,0.9682539682539683,0.000140581422070603
TemporalResNet18Small,84,6.0,27,0.029959449489765307,0.9682539682539683,0.00013120001496535436
TemporalResNet18Small,84,6.0,28,0.031147242941455367,0.9682539682539683,0.0001218928028121413
TemporalResNet18Small,84,6.0,29,0.035265864989710016,0.9735449735449735,0.00011269651692527177
TemporalResNet18Small,84,6.0,30,0.03617655980633572,0.9735449735449735,0.00010364745084375793
TemporalResNet18Small,84,8.0,1,0.9621418223661535,0.2777777777777778,0.0002997040092642407
TemporalResNet18Small,84,8.0,2,0.3027580807752469,0.8544973544973545,0.0002988172051971717
TemporalResNet18Small,84,8.0,3,0.19284046463230076,0.9338624338624338,0.0002973430876093033
TemporalResNet18Small,84,8.0,4,0.14463726031210491,0.9497354497354498,0.00029528747416929463
TemporalResNet18Small,84,8.0,5,0.1158395714181311,0.9682539682539683,0.00029265847744427303
TemporalResNet18Small,84,8.0,6,0.08559480314964757,0.9576719576719577,0.0002894664728832377
TemporalResNet18Small,84,8.0,7,0.08967965890598648,0.8862433862433863,0.000285724057869903
TemporalResNet18Small,84,8.0,8,0.08612180572441396,0.9682539682539683,0.00028144600200657956
TemporalResNet18Small,84,8.0,9,0.06154232176349444,0.9576719576719577,0.0002766491888253023
TemporalResNet18Small,84,8.0,10,0.06340167734443265,0.9735449735449735,0.00027135254915624217
TemporalResNet18Small,84,8.0,11,0.04148676501148764,0.9470899470899471,0.0002655769864163684
TemporalResNet18Small,84,8.0,12,0.046527112615020835,0.9708994708994709,0.0002593452941132117
TemporalResNet18Small,84,8.0,13,0.042849442318958396,0.9761904761904762,0.0002526820658893033
TemporalResNet18Small,84,8.0,14,0.031354986239046624,0.9708994708994709,0.0002456135984623034
TemporalResNet18Small,84,8.0,15,0.03765020556217197,0.9682539682539683,0.00023816778784387096
TemporalResNet18Small,84,8.0,16,0.03206881667788634,0.9682539682539683,0.00023037401924684944
TemporalResNet18Small,84,8.0,17,0.03144852885366965,0.9682539682539683,0.00022226305111525726
TemporalResNet18Small,84,8.0,18,0.0406973507556626,0.9629629629629629,0.00021386689373476087
TemporalResNet18Small,84,8.0,19,0.044802731091348344,0.9682539682539683,0.00020521868290270169
TemporalResNet18Small,84,8.0,20,0.035244476494399886,0.9682539682539683,0.00019635254915624208
TemporalResNet18Small,84,8.0,21,0.0370379876181045,0.9682539682539683,0.00018730348307472816
TemporalResNet18Small,84,8.0,22,0.031153292432838285,0.9682539682539683,0.00017810719718785867
TemporalResNet18Small,84,8.0,23,0.03242084770703085,0.9682539682539683,0.00016879998503464564
TemporalResNet18Small,84,12.0,1,0.8179090820691165,0.37037037037037035,0.0002997040092642407
TemporalResNet18Small,84,12.0,2,0.21345249475801692,0.8994708994708994,0.0002988172051971717
TemporalResNet18Small,84,12.0,3,0.15085795149207115,0.9735449735449735,0.0002973430876093033
TemporalResNet18Small,84,12.0,4,0.09664653584032375,0.917989417989418,0.00029528747416929463
TemporalResNet18Small,84,12.0,5,0.10667504756437506,0.9735449735449735,0.00029265847744427303
TemporalResNet18Small,84,12.0,6,0.07666217519299072,0.9735449735449735,0.0002894664728832377
TemporalResNet18Small,84,12.0,7,0.07456693822271465,0.9391534391534392,0.000285724057869903
TemporalResNet18Small,84,12.0,8,0.05739673983086558,0.9603174603174603,0.00028144600200657956
TemporalResNet18Small,84,12.0,9,0.04650756826980368,0.9708994708994709,0.0002766491888253023
TemporalResNet18Small,84,12.0,10,0.048156202216084826,0.9735449735449735,0.00027135254915624217
TemporalResNet18Small,84,12.0,11,0.04256905952934176,0.9735449735449735,0.0002655769864163684
TemporalResNet18Small,84,12.0,12,0.04211306043297929,0.9656084656084656,0.0002593452941132117
TemporalResNet18Small,84,12.0,13,0.039540860528016794,0.9682539682539683,0.0002526820658893033
TemporalResNet18Small,84,16.0,1,0.8264452850117403,0.3333333333333333,0.0002997040092642407
TemporalResNet18Small,84,16.0,2,0.2646615467965603,0.9126984126984127,0.0002988172051971717
TemporalResNet18Small,84,16.0,3,0.1661002503379303,0.9259259259259259,0.0002973430876093033
TemporalResNet18Small,84,16.0,4,0.1270253394237336,0.9312169312169312,0.00029528747416929463
TemporalResNet18Small,84,16.0,5,0.11098051235518035,0.9629629629629629,0.00029265847744427303
TemporalResNet18Small,84,16.0,6,0.07725383554968764,0.9629629629629629,0.0002894664728832377
TemporalResNet18Small,84,16.0,7,0.06053933986079167,0.955026455026455,0.000285724057869903
TemporalResNet18Small,84,16.0,8,0.06749165537493194,0.9629629629629629,0.00028144600200657956
TemporalResNet18Small,84,16.0,9,0.06650081646683462,0.9682539682539683,0.0002766491888253023
TemporalResNet18Small,84,16.0,10,0.048692379756282794,0.9629629629629629,0.00027135254915624217
TemporalResNet18Small,84,16.0,11,0.04869390328359954,0.9708994708994709,0.0002655769864163684
TemporalResNet18Small,84,16.0,12,0.03864600883646156,0.9629629629629629,0.0002593452941132117
TemporalResNet18Small,84,16.0,13,0.0387339322033393,0.9682539682539683,0.0002526820658893033
TemporalResNet18Small,84,16.0,14,0.03505392583525356,0.9656084656084656,0.0002456135984623034
